stream,h,method,n,rel_bias,median_rel_bias,mape,rmse,mean_realized,cov50,cov90,origin_set
severe,3,naive,30,-0.1621717118841385,-0.16240079365079363,0.1621717118841385,48.551004109081,292.53333333333336,,,evaluation 2021-01..2023-06
severe,3,onestep,30,0.03580495524508043,0.027337005695987987,0.044278646350814604,16.151540097254546,292.53333333333336,,,evaluation 2021-01..2023-06
severe,3,nowcast,30,0.004018980191268862,-0.0025825238028355955,0.029375181529578662,10.563387055645295,292.53333333333336,0.8333333333333334,0.9666666666666667,evaluation 2021-01..2023-06
severe,6,naive,30,-0.10068945991967508,-0.09744111167598712,0.10068945991967508,30.857738089497097,294.1,,,evaluation 2021-01..2023-06
severe,6,onestep,30,0.030831606210183486,0.0315847964980716,0.039847320322665435,14.353204498808156,294.1,,,evaluation 2021-01..2023-06
severe,6,nowcast,30,0.009657253213988049,0.015571242835106877,0.027582957019313632,9.90716809109428,294.1,0.6666666666666666,0.9666666666666667,evaluation 2021-01..2023-06
severe,12,naive,30,-0.04942115156716875,-0.05292307692307692,0.04942115156716875,14.779490293421263,290.5,,,evaluation 2021-01..2023-06
severe,12,onestep,30,0.01586777323866236,0.015738596134092363,0.017998044939750775,6.546072557936322,290.5,,,evaluation 2021-01..2023-06
severe,12,nowcast,30,0.00781892507368658,0.005326787226919436,0.012346106233736536,4.647668025676347,290.5,0.7,0.9666666666666667,evaluation 2021-01..2023-06
severe,24,naive,30,-0.013240984193470728,-0.012563527889137914,0.013240984193470728,4.686861067566081,333.8,,,evaluation 2021-01..2023-06
severe,24,onestep,30,0.00449255510967263,0.005000522555658063,0.005846864684355448,2.434896808562414,333.8,,,evaluation 2021-01..2023-06
severe,24,nowcast,30,0.003418757752215317,0.004500655743374298,0.005322254596113336,2.220625610562048,333.8,0.7666666666666667,1.0,evaluation 2021-01..2023-06
Y0,1,naive,36,-0.275567426997944,-0.2667324391823396,0.275567426997944,1340.7452011640557,4789.333333333333,,,training 2018-01..2020-12
Y0,1,onestep,36,0.2214282216362926,0.23302458686317806,0.2214282216362926,1150.8307382661037,4789.333333333333,,,training 2018-01..2020-12
Y0,1,nowcast,36,0.1617633005919502,0.1721420681926014,0.1632982824878233,860.2304207568,4789.333333333333,0.2222222222222222,0.9722222222222222,training 2018-01..2020-12
Y0,3,naive,36,-0.18267694084288508,-0.17455166227666452,0.18267694084288508,901.6316844723484,4847.694444444444,,,training 2018-01..2020-12
Y0,3,onestep,36,0.16736578224351317,0.17461307283092342,0.16736578224351317,884.0466783295651,4847.694444444444,,,training 2018-01..2020-12
Y0,3,nowcast,36,0.12977074105511735,0.14211870786546818,0.13049315831703756,696.2051984814752,4847.694444444444,0.19444444444444445,0.9444444444444444,training 2018-01..2020-12
Y0,6,naive,36,-0.12463624320369779,-0.11922597029506629,0.12463624320369779,615.4629468041833,4826.694444444444,,,training 2018-01..2020-12
Y0,6,onestep,36,0.11522010628374445,0.11969743269853736,0.11522010628374445,608.5607835406469,4826.694444444444,,,training 2018-01..2020-12
Y0,6,nowcast,36,0.09136409379206932,0.10257086153751283,0.09136409379206932,487.5502928163483,4826.694444444444,0.25,0.9444444444444444,training 2018-01..2020-12
Y0,12,naive,36,-0.06566834760526868,-0.05900474322231887,0.06566834760526868,339.6195174996082,4918.583333333333,,,training 2018-01..2020-12
Y0,12,onestep,36,0.05420337804868553,0.06305270530137694,0.05525653084228599,294.48447399770686,4918.583333333333,,,training 2018-01..2020-12
Y0,12,nowcast,36,0.04429463019102547,0.0476732669251565,0.04512332196425299,232.9135836072403,4918.583333333333,0.19444444444444445,0.8055555555555556,training 2018-01..2020-12
Y0,24,naive,36,-0.02309274893722094,-0.019719114056556575,0.02309274893722094,144.40173513885182,5000.305555555556,,,training 2018-01..2020-12
Y0,24,onestep,36,0.008077818598640145,0.010739530478965038,0.011409419639470227,64.6423869689088,5000.305555555556,,,training 2018-01..2020-12
Y0,24,nowcast,36,0.0063255543027456755,0.009340773194483041,0.010042210631160741,60.00157106050575,5000.305555555556,0.2777777777777778,0.7222222222222222,training 2018-01..2020-12
Y1,1,naive,36,-0.23664790956390735,-0.22493635693709385,0.23664790956390735,52.720700130235585,218.08333333333334,,,training 2018-01..2020-12
