stream,W,d,F,lam
all,all-history,16,0.9362935648389771,1.0055701142837932
all,all-history,17,0.9415088269983103,1.0049693464985423
all,all-history,18,0.9461875105911011,1.0043465194274552
all,all-history,19,0.9503001329879008,1.0038242170582774
all,all-history,20,0.9539342869669565,1.0036713032326976
all,all-history,21,0.9574364689984793,1.0034394359325072
all,all-history,22,0.9607295103930455,1.003249361460827
all,all-history,23,0.963851267838396,1.008596553839738
all,all-history,24,0.9721370671558685,1.003693874079227
all,all-history,25,0.9757280190696912,1.0030700050673866
all,all-history,26,0.9787235090326263,1.0026447257127356
all,all-history,27,0.9813119642626237,1.00244208366561
all,all-history,28,0.9837084101814172,1.0021664000822237
all,all-history,29,0.9858395161621183,1.0020222715642524
all,all-history,30,0.9878331513825692,1.0018670586440457
all,all-history,31,0.989677493806733,1.0016456071028093
all,all-history,32,0.9913061141200318,1.0015989460422638
all,all-history,33,0.992891159107876,1.0015491513839845
all,all-history,34,0.9944292978211539,1.0014783033876902
all,all-history,35,0.9958993660209412,1.0041175184149806
all,all-history,36,1.0,
Y0,all-history,0,0.4701959173947257,1.3626803016979072
Y0,all-history,1,0.6407267145725691,1.1032199077276583
Y0,all-history,2,0.7068624669293954,1.058618063887017
Y0,all-history,3,0.7482973761751971,1.039740920945726
Y0,all-history,4,0.7780354030456698,1.0306184295566048
Y0,all-history,5,0.8018576252263682,1.0257903526792016
Y0,all-history,6,0.8225378161794633,1.0201421084313638
Y0,all-history,7,0.8391054620618472,1.0164446074391102
Y0,all-history,8,0.8529042219854676,1.0139263920083073
Y0,all-history,9,0.8647821005263775,1.0117840207345428
Y0,all-history,10,0.8749727107298417,1.0104068743871681
Y0,all-history,11,0.8840784418226072,1.0226009853659788
Y0,all-history,12,0.9040594857486173,1.011515383840129
Y0,all-history,13,0.9144700777413222,1.008293295552566
Y0,all-history,14,0.922054048370009,1.0071686471215864
Y0,all-history,15,0.9286639284698037,1.0062861397504381
Y0,all-history,16,0.9345016397053558,1.0057456535137699
Y0,all-history,17,0.9398709623351527,1.0051208649990029
Y0,all-history,18,0.9446839146497539,1.0044428540554329
Y0,all-history,19,0.9488810074110577,1.0039018083278723
Y0,all-history,20,0.9525833592279341,1.0037211816679295
Y0,all-history,21,0.9561280949614678,1.0035355743335217
Y0,all-history,22,0.9595085569135725,1.0033276968820715
Y0,all-history,23,0.9627015105467347,1.0090189531432474
Y0,all-history,24,0.9713840703612892,1.0038153437396213
Y0,all-history,25,0.97509023449291,1.003158270760334
Y0,all-history,26,0.9781698334691961,1.002714181108128
Y0,all-history,27,0.9808247635517388,1.0024859542694664
Y0,all-history,28,0.9832630490602886,1.002210443879583
Y0,all-history,29,0.985436496849104,1.0020665552347667
Y0,all-history,30,0.9874729558001977,1.0018923815514302
Y0,all-history,31,0.9893416314042902,1.0016787264313636
Y0,all-history,32,0.9910024653505769,1.001621411276375
Y0,all-history,33,0.9926092879228118,1.0015795233056495
Y0,all-history,34,0.9941771374264899,1.0015188073689814
Y0,all-history,35,0.9956871009888861,1.0043315806811501
Y0,all-history,36,1.0,
Y1,all-history,0,0.4811045295578274,1.468491441282587
Y1,all-history,1,0.7064978840179549,1.1054660710644844
Y1,all-history,2,0.7810094400607003,1.0496467025572005
Y1,all-history,3,0.8197839834257595,1.0303020555216007
Y1,all-history,4,0.8446251232072459,1.022560393280416
Y1,all-history,5,0.8636801981613211,1.0172252185804944
Y1,all-history,6,0.8785572783582947,1.013335353841491
